County Code,County,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr
1003,"Baldwin County, AL",.,.,.,0.07,0.062,.,.,17,8.4,.
1027,"Clay County, AL",.,.,.,.,.,.,.,16,8,.
1033,"Colbert County, AL",.,.,.,0.07,0.059,.,.,17,8.6,.
1049,"DeKalb County, AL",.,.,.,0.07,0.062,.,.,19,9,.
1051,"Elmore County, AL",.,.,.,0.07,0.061,.,.,.,.,.
1055,"Etowah County, AL",.,.,.,0.07,0.06,.,.,19,9.2,.
1069,"Houston County, AL",.,.,.,0.07,0.061,.,.,18,8.3,.
1073,"Jefferson County, AL",5.6,1.7,46,0.08,0.066,29,5,24,11.8,58
1089,"Madison County, AL",.,.,.,0.08,0.064,.,.,16,8.6,37
1097,"Mobile County, AL",.,.,.,0.07,0.062,18,4,17,8.3,40
1101,"Montgomery County, AL",.,.,.,0.07,0.061,.,.,21,9.5,27
1103,"Morgan County, AL",.,.,.,0.07,0.06,.,.,16,8.6,.
1109,"Pike County, AL",.,.,.,.,.,.,.,.,.,.
1113,"Russell County, AL",.,.,.,0.07,0.063,.,.,22,10,.
1117,"Shelby County, AL",.,.,.,0.08,0.067,.,.,17,9,.
1119,"Sumter County, AL",.,.,.,0.07,0.058,.,.,.,.,.
1121,"Talladega County, AL",.,.,.,.,.,.,.,17,9.2,.
1125,"Tuscaloosa County, AL",.,.,.,0.07,0.059,8,1,20,9,.
2020,"Anchorage Borough, AK",5.2,4,.,.,.,.,.,16,5,120
2068,"Denali Borough, AK",.,.,.,0.05,0.052,.,.,.,.,.
2090,"Fairbanks North Star Borough, AK",5.9,3.2,.,0.05,0.048,37,24,122,29.1,95
2110,"Juneau Borough, AK",.,.,.,.,.,.,.,23,5.9,24
2122,"Kenai Peninsula Borough, AK",.,.,.,.,.,.,.,8,0.9,134
2170,"Matanuska Susitna Borough, AK",.,.,.,.,.,.,.,28,6.4,84
4001,"Apache County, AZ",.,.,.,.,.,.,.,.,.,54
4003,"Cochise County, AZ",.,.,.,0.08,0.072,.,.,18,7.2,218
4005,"Coconino County, AZ",.,.,.,0.08,0.069,.,.,10,5.4,27
4007,"Gila County, AZ",.,.,.,0.09,0.072,256,43,.,.,144
4012,"La Paz County, AZ",.,.,.,0.08,0.071,.,.,.,.,.
4013,"Maricopa County, AZ",4.2,2.7,63,0.1,0.079,9,4,29,10.6,280
4015,"Mohave County, AZ",.,.,.,.,.,.,.,14,3.9,86
4017,"Navajo County, AZ",.,.,.,0.08,0.069,.,.,.,.,46
4019,"Pima County, AZ",1.8,1.1,44,0.08,0.074,7,1,16,6.8,363
4021,"Pinal County, AZ",.,.,.,0.09,0.073,.,.,42,15.7,510
4023,"Santa Cruz County, AZ",.,.,.,.,.,.,.,28,9.9,174
4025,"Yavapai County, AZ",.,.,.,0.07,0.065,.,.,8,4.2,27
4027,"Yuma County, AZ",.,.,.,0.09,0.073,.,.,27,8.8,228
5001,"Arkansas County, AR",.,.,.,.,.,.,.,22,9.5,.
5003,"Ashley County, AR",.,.,.,.,.,.,.,21,9.1,.
5019,"Clark County, AR",.,.,.,0.08,0.067,.,.,.,.,.
5035,"Crittenden County, AR",.,.,39,0.08,0.067,.,.,22,10,.
5051,"Garland County, AR",.,.,.,.,.,.,.,20,9.5,.
5067,"Jackson County, AR",.,.,.,.,.,.,.,21,9.1,.
5101,"Newton County, AR",.,.,.,0.07,0.064,.,.,.,.,.
5113,"Polk County, AR",.,.,.,0.08,0.065,.,.,23,9.9,.
5119,"Pulaski County, AR",1.4,1.1,47,0.08,0.07,7,3,29,11,61
5139,"Union County, AR",.,.,.,.,.,20,4,20,9.6,.
