State FIPS Code,County FIPS Code,Postal Code,Median Household Income
00,000,US,"52,250"
01,000,AL,"42,882"
01,001,AL,"51,868"
01,003,AL,"47,539"
01,005,AL,"30,981"
01,007,AL,"39,781"
01,009,AL,"44,392"
01,011,AL,"25,937"
01,013,AL,"31,041"
01,015,AL,"37,898"
01,017,AL,"33,883"
01,019,AL,"37,478"
01,021,AL,"41,348"
01,023,AL,"33,581"
01,025,AL,"34,593"
01,027,AL,"33,344"
01,029,AL,"40,407"
01,031,AL,"44,666"
01,033,AL,"40,032"
01,035,AL,"27,196"
01,037,AL,"35,175"
01,039,AL,"35,187"
01,041,AL,"34,105"
01,043,AL,"40,142"
01,045,AL,"41,805"
01,047,AL,"27,524"
01,049,AL,"36,713"
01,051,AL,"51,650"
01,053,AL,"33,455"
01,055,AL,"38,587"
01,057,AL,"35,661"
01,059,AL,"33,332"
01,061,AL,"35,378"
01,063,AL,"25,864"
01,065,AL,"33,597"
01,067,AL,"41,590"
01,069,AL,"39,636"
01,071,AL,"37,204"
01,073,AL,"45,024"
01,075,AL,"36,475"
01,077,AL,"43,586"
01,079,AL,"40,713"
01,081,AL,"44,647"
01,083,AL,"50,148"
01,085,AL,"29,734"
01,087,AL,"29,228"
01,089,AL,"58,258"
01,091,AL,"33,749"
01,093,AL,"34,162"
01,095,AL,"38,399"
01,097,AL,"42,278"
01,099,AL,"32,696"
01,101,AL,"44,013"
01,103,AL,"44,079"
01,105,AL,"25,461"
01,107,AL,"32,314"
01,109,AL,"35,944"
01,111,AL,"35,121"
01,113,AL,"35,762"
01,115,AL,"52,437"
01,117,AL,"68,718"
01,119,AL,"24,504"
01,121,AL,"38,505"
01,123,AL,"37,747"
01,125,AL,"45,959"
01,127,AL,"37,193"
01,129,AL,"41,115"
01,131,AL,"23,184"
01,133,AL,"33,578"
02,000,AK,"70,058"
02,013,AK,"56,856"
02,016,AK,"74,088"
02,020,AK,"76,362"
02,050,AK,"42,876"
02,060,AK,"65,283"
02,068,AK,"68,103"
02,070,AK,"47,930"
02,090,AK,"67,204"
02,100,AK,"55,295"
02,105,AK,"42,276"
02,110,AK,"83,642"
02,122,AK,"61,629"
02,130,AK,"62,619"
02,150,AK,"64,782"
02,164,AK,"43,936"
02,170,AK,"72,371"
02,180,AK,"46,471"
02,185,AK,"74,174"
02,188,AK,"54,600"
02,195,AK,"58,176"
02,198,AK,"48,175"
02,220,AK,"66,038"
02,230,AK,"63,930"
02,240,AK,"54,922"
02,261,AK,"63,541"
02,270,AK,"31,274"
02,275,AK,"49,039"
02,282,AK,"56,365"
02,290,AK,"35,114"
04,000,AZ,"48,504"
04,001,AZ,"30,252"
04,003,AZ,"45,294"
04,005,AZ,"48,732"
04,007,AZ,"39,868"
04,009,AZ,"43,497"
04,011,AZ,"54,673"
04,012,AZ,"33,994"
04,013,AZ,"52,066"
04,015,AZ,"38,560"
04,017,AZ,"37,182"
04,019,AZ,"43,926"
04,021,AZ,"49,887"
04,023,AZ,"35,753"
04,025,AZ,"40,486"
04,027,AZ,"40,498"
05,000,AR,"40,605"
05,001,AR,"38,497"
05,003,AR,"36,479"
05,005,AR,"36,082"
05,007,AR,"56,518"
05,009,AR,"38,410"
05,011,AR,"31,733"
05,013,AR,"37,497"
05,015,AR,"34,109"
05,017,AR,"28,006"
05,019,AR,"36,517"
05,021,AR,"33,488"
05,023,AR,"41,612"
05,025,AR,"42,414"
05,027,AR,"36,927"
05,029,AR,"38,145"
05,031,AR,"41,608"
05,033,AR,"39,384"
05,035,AR,"37,726"
05,037,AR,"35,438"
05,039,AR,"32,591"
05,041,AR,"30,241"
05,043,AR,"35,249"
05,045,AR,"49,936"
05,047,AR,"38,874"
05,049,AR,"33,439"
05,051,AR,"39,057"
05,053,AR,"47,089"
05,055,AR,"40,840"
05,057,AR,"33,715"
05,059,AR,"39,927"
05,061,AR,"32,740"
05,063,AR,"37,761"
05,065,AR,"33,308"
05,067,AR,"32,923"
05,069,AR,"36,169"
05,071,AR,"33,634"
05,073,AR,"30,642"
05,075,AR,"34,740"
05,077,AR,"27,068"
05,079,AR,"36,062"
05,081,AR,"36,310"
05,083,AR,"34,090"
05,085,AR,"55,648"
05,087,AR,"36,358"
05,089,AR,"34,217"
05,091,AR,"40,005"
05,093,AR,"34,285"
05,095,AR,"29,870"
05,097,AR,"31,763"
05,099,AR,"33,341"
05,101,AR,"31,824"
05,103,AR,"35,006"
05,105,AR,"42,328"
05,107,AR,"25,894"
05,109,AR,"35,592"
05,111,AR,"34,113"
05,113,AR,"31,818"
05,115,AR,"39,704"
05,117,AR,"38,921"
05,119,AR,"46,526"
05,121,AR,"33,148"
05,123,AR,"29,011"
05,125,AR,"54,921"
05,127,AR,"32,404"
05,129,AR,"27,299"
05,131,AR,"41,685"
05,133,AR,"33,698"
05,135,AR,"31,224"
05,137,AR,"27,522"
05,139,AR,"38,132"
05,141,AR,"35,111"
05,143,AR,"43,302"
05,145,AR,"43,363"
05,147,AR,"29,159"
05,149,AR,"34,679"
06,000,CA,"60,185"
06,001,CA,"72,128"
06,003,CA,"49,392"
06,005,CA,"52,357"
06,007,CA,"42,395"
06,009,CA,"52,598"
06,011,CA,"48,897"
06,013,CA,"78,909"
06,015,CA,"38,663"
06,017,CA,"63,002"
06,019,CA,"43,741"
06,021,CA,"42,129"
06,023,CA,"40,882"
06,025,CA,"40,106"
06,027,CA,"45,784"
06,029,CA,"46,688"
06,031,CA,"45,794"
06,033,CA,"36,973"
06,035,CA,"50,487"
06,037,CA,"54,443"
06,039,CA,"41,223"
06,041,CA,"94,347"
06,043,CA,"45,251"
06,045,CA,"42,001"
06,047,CA,"41,003"
06,049,CA,"37,055"
06,051,CA,"55,107"
06,053,CA,"55,411"
06,055,CA,"68,619"
06,057,CA,"55,246"
06,059,CA,"73,827"
06,061,CA,"73,643"
06,063,CA,"47,645"
06,065,CA,"53,909"
06,067,CA,"52,980"
06,069,CA,"66,780"
06,071,CA,"52,112"
06,073,CA,"61,365"
06,075,CA,"76,933"
06,077,CA,"51,219"
06,079,CA,"57,743"
06,081,CA,"91,061"
06,083,CA,"60,803"
06,085,CA,"91,843"
06,087,CA,"65,282"
06,089,CA,"41,236"
06,091,CA,"46,449"
06,093,CA,"37,108"
06,095,CA,"63,398"
06,097,CA,"61,020"
06,099,CA,"47,808"
06,101,CA,"47,903"
06,103,CA,"43,459"
06,105,CA,"35,708"
06,107,CA,"39,657"
06,109,CA,"50,774"
06,111,CA,"76,513"
06,113,CA,"55,011"
06,115,CA,"41,824"
08,000,CO,"58,942"
08,001,CO,"54,876"
08,003,CO,"37,484"
08,005,CO,"61,092"
08,007,CO,"44,417"
08,009,CO,"35,787"
08,011,CO,"34,440"
08,013,CO,"71,405"
08,014,CO,"79,117"
08,015,CO,"48,012"
08,017,CO,"50,379"
08,019,CO,"63,489"
08,021,CO,"34,923"
08,023,CO,"28,233"
08,025,CO,"31,477"
08,027,CO,"47,268"
08,029,CO,"41,730"
08,031,CO,"51,156"
08,033,CO,"42,416"
08,035,CO,"105,192"
08,037,CO,"78,517"
08,039,CO,"80,972"
08,041,CO,"57,072"
08,043,CO,"41,412"
08,045,CO,"57,364"
08,047,CO,"64,962"
08,049,CO,"57,312"
08,051,CO,"48,391"
08,053,CO,"52,188"
08,055,CO,"32,418"
08,057,CO,"43,549"
08,059,CO,"68,161"
08,061,CO,"42,378"
08,063,CO,"39,633"
08,065,CO,"47,547"
08,067,CO,"58,675"
08,069,CO,"59,337"
08,071,CO,"38,547"
08,073,CO,"41,510"
08,075,CO,"43,561"
08,077,CO,"48,108"
08,079,CO,"50,286"
08,081,CO,"58,890"
08,083,CO,"43,655"
08,085,CO,"43,946"
08,087,CO,"46,332"
08,089,CO,"36,811"
08,091,CO,"58,137"
08,093,CO,"57,510"
08,095,CO,"46,805"
08,097,CO,"71,012"
08,099,CO,"38,830"
08,101,CO,"41,352"
08,103,CO,"59,364"
08,105,CO,"39,834"
08,107,CO,"63,763"
08,109,CO,"35,310"
08,111,CO,"41,683"
08,113,CO,"53,674"
08,115,CO,"39,980"
08,117,CO,"63,236"
08,119,CO,"62,725"
08,121,CO,"45,572"
08,123,CO,"58,404"
08,125,CO,"45,487"
09,000,CT,"67,262"
09,001,CT,"81,816"
09,003,CT,"63,491"
09,005,CT,"70,519"
09,007,CT,"75,335"
09,009,CT,"58,672"
09,011,CT,"62,638"
09,013,CT,"73,660"
09,015,CT,"55,948"
10,000,DE,"58,244"
10,001,DE,"53,811"
10,003,DE,"63,033"
10,005,DE,"50,207"
11,000,DC,"66,326"
11,001,DC,"66,326"
12,000,FL,"46,021"
12,001,FL,"39,614"
12,003,FL,"46,505"
12,005,FL,"45,249"
12,007,FL,"40,668"
12,009,FL,"46,677"
12,011,FL,"50,343"
12,013,FL,"33,977"
12,015,FL,"43,611"
12,017,FL,"39,285"
12,019,FL,"57,991"
12,021,FL,"55,584"
12,023,FL,"41,722"
12,027,FL,"33,198"
12,029,FL,"31,649"
12,031,FL,"47,876"
12,033,FL,"42,742"
12,035,FL,"47,872"
12,037,FL,"33,471"
12,039,FL,"34,348"
12,041,FL,"39,854"
12,043,FL,"39,003"
12,045,FL,"38,880"
12,047,FL,"33,836"
12,049,FL,"34,884"
12,051,FL,"37,085"
12,053,FL,"39,280"
12,055,FL,"34,054"
12,057,FL,"49,510"
12,059,FL,"33,220"
12,061,FL,"44,326"
12,063,FL,"36,332"
12,065,FL,"39,494"
12,067,FL,"37,120"
12,069,FL,"44,244"
